metal_type,chemical_additive_type,operator_shift,input_material_source,equipment_type,mass_input_kg,reaction_temp_c,reaction_time_min,energy_kWh,batch_size_kg,raw_material_cost_per_kg,material_purity_pct,moisture_content_pct,ambient_temp_c,reaction_pressure_bar,process_yield_pct,cooling_time_min,maintenance_hours_last_month,downtime_last_month_hr,regulatory_compliance_level,equipment_age_years,operator_experience_years,num_operators,shift_duration_hr,week_of_year,quality_check_passed,num_defects,timestamp,cooling_energy_kWh,process_additive_cost,impurity_penalty,rework_cost,cost_eur,cost_per_kg,energy_per_kg,anomaly_cost_per_kg,anomaly_energy_per_kg,anomaly_isoforest
Magnesium,,Night,Local,Type_A,487.6735836647956,100.38501614389811,81.33116754639047,1614.6481958078878,41.53159835043631,8.454906651351024,86.87026783950488,5.816100593814025,19.264890304676857,4.583052652534394,74.16994321860439,11.65593983614637,5.106712234036097,14.253670836930848,0.7299084192826703,16,13,4,8,14,0,2,2023-04-23 17:30:00,80.7324097903944,0.0,128.06047070535152,20.0,4498.70414722515,108.32003404410004,38.87758381422672,True,True,True
Aluminum,Catalyst_B,Day,Imported,Type_A,467.3798794288847,142.80199374923757,110.71883284688684,1185.105037824512,42.69839459702354,9.261470938174224,93.7604496900782,6.977412822697077,28.586327797748808,6.064278826669365,93.61371331646518,53.454881301058265,5.893845987070892,9.193899507530482,0.8521600719626505,7,8,5,12,41,1,2,2023-03-25 05:10:00,59.255251891225605,30.0,58.32480543083416,0.0,4597.037167377244,107.6629978893328,27.75525986419931,True,True,True
Zinc,Catalyst_B,Night,Local,Type_C,492.0563241749306,119.62295102966604,173.15970284102545,558.9493977159082,45.778410872564265,9.4677222800336,85.56949775301929,9.003870637099864,11.447250711310492,4.901310323675805,98.23549246228932,58.02804978044136,31.519353836318228,10.981023552886358,0.8431795148875374,14,5,1,12,3,1,2,2023-05-12 13:50:00,27.94746988579541,30.0,142.01239783294804,0.0,4921.170241631053,107.49980499171038,12.209890799221593,True,False,True
Zinc,Catalyst_B,Day,Imported,Type_A,459.45186628294624,93.9804499301899,178.1895507583302,1837.0661339557264,45.2594826925237,9.646684792478236,90.25129023970376,8.30092265710115,19.52431523715415,6.013610033681469,99.53424386043513,46.54202867442515,15.679873725894453,5.02997628158403,0.744983662126889,6,25,2,8,12,0,1,2023-11-05 05:20:00,91.85330669778632,30.0,89.58125786437769,20.0,4829.039133938699,106.69673727261568,40.58964054971815,True,True,True
Magnesium,Catalyst_B,Night,Imported,Type_B,475.8436698108504,59.4097548568688,161.70135785264108,1552.0712591645492,43.43705447427229,8.992281696036002,91.60628969227538,3.3675594672549347,11.969126093047745,4.934943311960843,79.57662881758553,24.551487104697017,30.754727116898515,19.555207626708818,0.6277040708407697,1,29,2,8,14,0,2,2022-05-13 11:10:00,77.60356295822747,30.0,79.88187832313693,20.0,4603.539634007453,105.981855577572,35.73150338920516,True,True,True
Magnesium,,Night,Local,Type_B,480.3306528956364,147.44701640031337,64.21133099025887,725.5621642960155,44.93435348266218,9.326082040187302,82.5035025074137,7.882248583639891,22.418841035071026,5.204101412216166,82.15558157552636,15.001560857385556,30.56912529905429,2.5794093450809186,0.6676817034778779,16,17,4,8,34,1,1,2023-02-20 02:00:00,36.27810821480077,0.0,168.0820812800169,0.0,4745.164629222026,105.60215651156383,16.147159312662016,True,True,True
Zinc,Catalyst_B,Night,Local,Type_A,467.629910553463,84.98046393605107,114.50619797199134,1391.7985344256049,46.83701055797792,9.80076467173528,82.21708117847955,7.134968423933215,11.864495210474312,3.353065131297493,82.7043971482101,48.90261398619681,32.6467596458558,3.202925000643242,0.9548220551161426,4,29,4,12,40,1,5,2022-12-21 15:20:00,69.58992672128024,30.0,166.31649475774208,0.0,4930.77036699152,105.2750871212818,29.7157849710059,True,True,True
Aluminum,,Night,Local,Type_B,499.5662846918299,73.68501288646777,64.21339066560486,1420.101450991865,40.59165594496656,7.987835328626754,92.8335401686687,4.224357870847847,34.152803615811976,4.624095289236357,70.88837415776233,43.18999190834535,28.18256651363622,0.5136012933689682,0.6323086899687276,5,3,2,8,11,0,5,2023-06-29 15:00:00,71.00507254959325,0.0,71.60243424662826,20.0,4257.163318226801,104.87779370219796,34.985058331131235,True,True,True
Zinc,,Day,Imported,Type_B,499.4999584976731,74.96409369331059,92.13267693416611,509.2277754531916,42.24762603411519,8.560204185735286,91.88299724171016,8.183947239530932,30.61648082695756,2.009523031438463,74.8972328957463,29.49605166946669,27.040652011225973,2.3558557978310257,0.877021911854921,2,20,5,12,48,1,3,2022-08-12 03:10:00,25.46138877265958,0.0,81.08885081782543,0.0,4416.901065425219,104.54791144616142,12.05340567638019,True,False,True
Aluminum,Catalyst_B,Night,Imported,Type_B,496.8239462310995,52.75237860772592,96.9967583796316,1287.2426227936494,47.705505981645366,9.403658788610286,93.08216267503693,5.36597968128263,28.804598729294145,2.0365365557157125,91.13978992266956,18.2729290195026,36.122645715907936,9.08048653925142,0.9237130771864788,10,3,4,12,13,1,1,2022-03-10 12:30:00,64.36213113968248,30.0,68.73894478345893,0.0,4941.280770595887,103.57883579511844,26.983103864130786,True,True,True
Zinc,,Night,Local,Type_B,455.02540566902496,57.87387509245353,82.4150478005602,714.5479242609462,43.591772689249936,9.670770987021234,98.698643394256,8.586996910773582,28.54839647917469,3.627367306759003,79.93908211328039,25.04473811961301,22.22838150083382,0.1969342604907487,0.9331615655980974,13,19,4,8,28,1,2,2022-05-27 18:00:00,35.72739621304731,0.0,11.843006348974656,0.0,4511.430572960445,103.49270733082616,16.391806989697372,True,True,True
Aluminum,,Day,Imported,Type_C,463.64407840918665,141.73706435940443,92.5902353159875,465.4250439355173,44.67121025035818,9.7132319651972,99.2175869125072,4.820420079482704,32.74206460245309,9.48571987335824,83.22336857593896,49.62605324613438,32.8717004870403,10.22832553382984,0.8995960694550568,11,10,1,8,46,0,2,2022-06-21 08:00:00,23.271252196775865,0.0,7.255223897717869,20.0,4586.315093872625,102.6682525091393,10.418903838222862,True,False,True
Aluminum,Catalyst_B,Night,Local,Type_B,454.92153823783855,61.94621247515365,50.73573376112961,1532.2573020761438,47.10395497650857,9.974300465786014,96.00974223728734,9.744552765644896,36.018928479795235,1.4571675645998758,80.7510317640737,23.48057905838055,4.395364404792419,13.118662279042807,0.9286905089023664,14,15,4,8,33,1,3,2022-10-07 00:30:00,76.6128651038072,30.0,36.30508398757436,0.0,4797.631646162435,101.85199201542808,32.52927069160759,True,True,True
Magnesium,,Night,Imported,Type_B,450.00498752614914,52.97480342871833,103.40064460021374,1687.536894160045,41.76445720771356,8.609063674591559,84.94910768826549,2.5062999709490907,13.708554855977432,6.544267028047103,92.24913625408286,22.63940430595181,16.085617415984295,18.659777653538203,0.5760765436765868,4,21,4,8,30,1,3,2023-09-30 10:10:00,84.37684470800225,0.0,135.45953213999005,0.0,4249.244985516813,101.74309136554544,40.406053543738395,True,True,True
Aluminum,Catalyst_B,Day,Imported,Type_A,475.1339301921341,60.13913257330555,75.19151091863455,302.23515245660565,42.8200481669733,8.85372540014977,89.30335852802514,7.157749395070484,39.05410969210928,4.945920947485197,86.47779626981023,13.209431682728953,11.373149230450949,7.77106809508024,0.5624158290177956,12,3,3,12,26,1,0,2022-10-03 10:10:00,15.111757622830282,30.0,101.64674604871176,0.0,4340.299648138175,101.3613910758234,7.058262785648074,True,False,True
Zinc,Catalyst_B,Day,Local,Type_B,449.34357091678913,112.25111199271872,131.17052616106602,1258.642406786753,42.15767982251832,8.641984037943757,87.63884268775573,7.824381226709569,36.330754616633314,9.295693137863468,84.77188287504319,17.585481276896623,32.88496245571446,11.846740447295378,0.6124276483483944,8,6,5,12,42,0,4,2022-10-02 23:10:00,62.93212033933766,30.0,111.08813134696044,20.0,4229.549360286535,100.32690077093244,29.855590062962985,True,True,True
Zinc,Catalyst_B,Night,Imported,Type_B,469.3596714446479,120.90832917423276,47.12178561736287,1373.0106185180202,41.32556363452056,8.077534101911219,93.86309605031607,1.0598516954556636,19.100537628247498,8.92260346128324,76.3957653483282,17.72547893814788,13.207144805373776,0.7638849043378615,0.5863234109819689,6,25,2,12,31,0,1,2022-07-29 23:00:00,68.65053092590101,30.0,57.60830443022017,20.0,4108.878703740352,99.42704569207795,33.2242442150529,True,True,True
Magnesium,,Day,Imported,Type_A,488.9308262867318,79.44992014321669,84.19205544008143,215.51551312272363,44.19823429380399,8.928296498498097,99.81269234062805,4.194646479239051,26.435033078993964,2.789897941106082,86.02997217746653,48.08572508014071,17.625003317942415,10.557192925227117,0.5433101161351342,5,10,4,8,46,0,3,2023-02-10 08:30:00,10.775775656136185,0.0,1.8316097733314327,20.0,4388.524056523023,99.2918411027618,4.876111377891312,True,False,True
Magnesium,,Night,Local,Type_A,498.7335759518484,64.65880786913054,63.880240902187545,398.0192242466903,46.435831754070286,9.07868885170189,99.55098900864516,5.068101369014048,16.804340866411792,7.99875241409821,85.36131128126233,26.695115779745827,8.906703001424404,3.7425366287217554,0.8007737328219278,12,17,5,12,10,0,2,2023-11-05 19:00:00,19.90096121233452,0.0,4.478737147201866,20.0,4586.596514211207,98.7727868966011,8.571381392598882,True,False,True
Zinc,Catalyst_B,Night,Imported,Type_B,414.5532564172853,147.34223681587645,146.1340413156355,1938.8013994788505,42.42415041565585,8.969179809299604,83.98666210683253,2.22718778630324,15.472669756901292,9.574125017126006,84.57266636705934,11.643673230153574,5.092461347098833,2.9552996419356736,0.7830626701685679,4,9,1,12,24,0,1,2023-09-01 14:30:00,96.94006997394251,30.0,132.76762739445775,20.0,4171.0363340173735,98.31749824454069,45.70041781587149,True,True,True
Zinc,,Day,Local,Type_C,431.5724612901432,142.96127385075943,167.6762389052059,1350.944613129854,41.73091258005709,8.869871773224292,92.87636269376588,0.1051163556567402,32.28768486644558,7.1568008796303015,83.51299356804408,39.844935457383954,10.53815766841769,14.685486071608558,0.5921631958679537,9,23,3,12,45,1,2,2022-08-23 12:10:00,67.54723065649272,0.0,61.4873137117949,0.0,4082.934011410701,97.83955727251232,32.37275510182495,True,True,True
Magnesium,Catalyst_B,Night,Imported,Type_B,452.14080450565694,98.97680266405794,145.50900048756478,1118.4240662729735,46.15450628604765,9.463619305850765,96.62883515800334,7.896528799145706,24.07988537053751,1.6286196977534255,81.50173024525165,38.35441129726173,27.783001242135228,3.7912641455446017,0.6649758659170786,7,10,2,8,42,0,2,2022-05-01 22:50:00,55.92120331364868,30.0,30.484823675631063,20.0,4511.783749263946,97.75391640637793,24.232174846404313,True,True,True
Zinc,Catalyst_B,Day,Imported,Type_B,465.16127315341095,91.95358117452346,50.84483401223269,309.44621120051755,48.60516557708593,9.703361978325376,87.40205968915606,7.439778836797063,18.36130899698456,3.764394294581736,78.23350039822593,39.49496945396885,29.891784315980733,4.840985928754639,0.7743572679144678,19,5,3,8,45,1,1,2022-08-11 06:10:00,15.472310560025878,30.0,117.20147908205686,0.0,4686.970488284129,96.42947272447356,6.366529308695549,True,False,True
Aluminum,,Night,Imported,Type_B,478.9633592257522,137.59694970775232,162.18719615399374,688.1924938110863,46.45407211014054,8.732465944607883,80.88837236134601,1.5709120810370525,28.43776842166344,6.993181833053641,71.58360300760725,41.47863541472529,0.2525594594574842,18.38667952885061,0.8728150915693624,4,22,4,8,26,1,0,2022-07-26 22:30:00,34.40962469055432,0.0,183.0753874816289,0.0,4474.636685376562,96.32388469125802,14.81447077835098,True,True,True
Magnesium,,Day,Local,Type_B,469.8089556150457,112.8935911503788,44.69919725019154,1984.663824401845,46.841897890825365,8.923972089831413,96.71894865550463,4.006583459209918,26.815548918081877,7.868929154430314,97.90123722367234,39.134975481623925,21.31867638376763,10.570439019863256,0.6991843754966828,7,12,5,8,21,1,1,2023-10-30 07:20:00,99.23319122009224,0.0,30.8293461095342,0.0,4494.173725926492,95.9434593449028,42.36941528346077,True,True,True
Aluminum,Catalyst_B,Day,Imported,Type_C,484.4167209312023,149.6214643024938,135.87173747989254,1388.6949599695347,49.44189050464968,9.010494411875603,84.81162686456355,2.364378994452612,20.449812588960263,9.73978534500644,76.74652347881558,18.42892747246944,38.888696605031335,17.93182450165017,0.6084689296296637,8,7,5,8,5,0,0,2022-03-14 22:00:00,69.43474799847674,30.0,147.15003821095377,20.0,4741.845826763699,95.90745374750102,28.0874162738364,True,True,True
Aluminum,Catalyst_B,Night,Imported,Type_A,426.08355099491706,58.96085277551927,119.90948070910947,1952.6595907578856,40.17641136551098,8.25975628774004,94.5611493571042,9.794982196767275,26.68256562152815,5.731327695400466,96.23618139508092,13.825713468637982,35.038687920343314,0.3698047804981086,0.8969516283700867,5,16,5,12,12,0,1,2023-10-24 05:10:00,97.6329795378943,30.0,46.34809590512059,20.0,3849.495287807207,95.81481165119106,48.602140519551874,True,True,True
Aluminum,,Day,Imported,Type_A,417.4856957067751,142.2140875228403,32.36268894036113,1211.3984327857502,45.44810526384195,9.88468052850587,97.1955821091359,6.110833475086473,38.25612013449651,3.088651512653034,94.16437360231996,33.54352755271991,31.68666256536385,2.753348486119722,0.5508497103372646,18,17,3,12,27,0,3,2023-06-25 07:40:00,60.56992163928752,0.0,23.416087084398487,20.0,4343.569350583542,95.57206676422749,26.65454204863247,True,True,True
Magnesium,,Day,Imported,Type_C,409.7644827162523,77.39541013012307,121.6197394962182,478.05902898369567,40.64936406471968,9.243334574084928,99.96480295675636,4.202431982173508,28.068765288109148,9.23126131803585,76.88193098843848,35.27546434610166,14.115931032821374,10.789189907742193,0.7191369519929253,12,15,3,8,49,0,2,2023-02-22 02:30:00,23.902951449184783,0.0,0.2884499643573425,20.0,3872.901170916063,95.27581205821188,11.760553700730876,True,False,True
Zinc,Catalyst_B,Night,Imported,Type_B,466.4142557963257,136.21397387030083,36.4645349517,1706.5038318770878,43.52356062885181,8.047729607321443,86.89706320352698,2.8043037629421037,26.51026518568358,1.5285273326297626,96.11458835155892,13.703780681523094,28.482834275386097,8.126303812442924,0.6821987618104984,7,3,5,8,16,1,3,2023-09-13 15:10:00,85.3251915938544,30.0,122.2279302934651,0.0,4123.370455180815,94.73881262479772,39.208736767410635,True,True,True
Magnesium,,Night,Imported,Type_B,429.70761943472417,85.73777135658469,134.311341274827,951.0950541555632,43.84809179909005,8.994537658467447,84.80497395578101,3.602622400812609,13.59444370258562,3.9019923613233063,78.95003743346794,27.04457601947165,2.33475702172671,18.87900654100069,0.8753722437576738,6,10,5,8,7,1,1,2022-04-01 07:40:00,47.55475270777816,0.0,130.58836937419957,0.0,4144.669508182572,94.52337235502192,21.69068288110318,True,True,True
Zinc,,Day,Local,Type_A,440.9567281412548,103.64843529837324,85.79344442258652,1636.2029737367473,45.43415380371225,8.79974952252305,82.94591895446489,1.40370393527658,30.22442945909544,3.3180591463717084,89.16161980706349,50.32395744143686,22.321984599926616,17.378718154186576,0.651213544886639,11,20,3,8,27,1,1,2022-11-30 23:50:00,81.81014868683737,0.0,150.4022355858991,0.0,4291.594813016886,94.45746104478424,36.012621271776815,True,True,True
Aluminum,,Night,Imported,Type_C,475.30745947847015,101.23765749116598,165.07995923977822,895.3857114974395,43.992370949268405,8.267155999465208,97.70008196206726,1.9326679816415135,37.65210473249751,5.109288703862867,92.658198364953,10.032935501226872,1.4698823880531189,9.919247854021476,0.8872529719954114,4,3,3,12,8,0,1,2022-01-20 21:10:00,44.76928557487198,0.0,21.86336399237043,20.0,4124.161987281988,93.74720885214242,20.35320425284625,True,True,True
Aluminum,Catalyst_B,Night,Local,Type_C,443.2390136879241,79.9659646373795,165.18142523952378,390.53049575638255,49.27528014587512,9.882901268536248,82.89469313470553,1.630166731821571,13.621827922187222,1.2094479547142003,72.43468757647709,46.28212094959966,39.01293047491595,7.895824909897167,0.7180452134894548,7,20,3,8,11,1,5,2023-06-24 08:00:00,19.526524787819127,30.0,151.63478687604794,0.0,4615.746309486213,93.67265484481678,7.925485042403644,True,False,True
Magnesium,,Night,Local,Type_B,449.0663914824897,94.1247409844211,149.5700019662042,730.2937021614944,46.28711374603975,9.23988809137692,89.47349125425481,2.388426853888542,13.255751298633914,2.4138871002423663,72.72011088305977,29.576156154625263,38.46202654508716,19.79901423513913,0.881134222614873,17,24,2,12,27,1,2,2023-04-16 14:30:00,36.51468510807472,0.0,94.5420259472132,0.0,4333.547102079886,93.6231869166968,15.7774733194285,True,True,True
Zinc,,Day,Imported,Type_A,405.69901590756496,107.29765703638073,146.8777016820727,1020.10305833431,42.545815031233325,9.142811320449356,89.0206198232274,6.494301630435666,14.18515249758439,2.1399796918850864,89.16245857205459,32.701826714458385,36.976236215840025,4.9080809417255296,0.6050243048731017,7,16,4,12,25,1,3,2022-10-07 19:50:00,51.0051529167155,0.0,89.08647465983333,0.0,3976.0885638554646,93.4542812480282,23.976578133135817,True,True,True
Magnesium,,Day,Imported,Type_B,472.0063892580457,74.67070336518199,135.08447108406136,157.9573346455749,47.06408646617077,9.045420126267093,94.53071684689522,5.100802066848703,21.314520790962497,6.6932099983847895,73.97287717181105,55.73100660166656,3.758703836029005,2.1293593548078205,0.8426713162094919,6,5,3,12,38,0,6,2023-05-22 04:40:00,7.897866732278745,0.0,51.630731858537,20.0,4377.309209451306,93.0074189923494,3.356218010501769,True,False,True
Aluminum,Catalyst_B,Day,Local,Type_A,451.3131582215448,138.85540368118336,165.84655489428854,751.3643923091014,40.557695100006256,7.669796275318134,80.9607325509421,5.37501493177168,29.59038820468427,5.294817650489669,82.16459817252213,13.72575877761392,2.295219394230257,8.407840120171702,0.591283128703638,10,24,2,12,23,1,3,2023-08-14 07:30:00,37.56821961545507,30.0,171.85343845317956,0.0,3768.567382236867,92.91867728046226,18.52581588910326,True,True,True
Zinc,,Day,Local,Type_B,385.7987887970352,68.76248357857253,119.57636091742086,1847.1989146340416,41.21138113520665,9.062652763733167,97.3276307104474,3.6612773448700353,10.542010228397686,5.010632416256813,92.3005825063805,58.554796666671926,32.356779082791256,13.637137237915272,0.7385055935861407,3,12,4,12,38,0,2,2022-06-04 11:40:00,92.3599457317021,0.0,20.61993670255565,20.0,3821.631630428595,92.73243276876728,44.82254328176325,True,True,True
Magnesium,,Night,Imported,Type_C,443.6469422990877,53.19231992454898,138.30210607682918,148.62454833325427,45.349856809813424,9.304979977127358,95.9173073132726,5.424574852422156,19.580795772886123,3.886685760523207,93.02950474012144,31.5732474372285,2.272356194434684,15.477724504970912,0.9581396422799908,9,9,1,8,52,1,2,2023-05-27 02:50:00,7.431227416662714,0.0,36.22548253626922,0.0,4205.082551303596,92.72537659685936,3.2772881501379483,True,False,True
Aluminum,Catalyst_B,Night,Local,Type_B,445.1219951056079,63.854773036552125,78.17973997443548,1386.6622111171732,45.02109065315548,8.483975436821382,83.44781724342555,7.798811846980954,35.22046308346769,3.224138067870745,99.80976474242806,26.50516915468999,27.70527386053488,5.024972622045625,0.9740875212090228,9,6,4,8,19,0,2,2022-01-09 16:30:00,69.33311055585867,30.0,147.3548122391812,20.0,4174.363288759313,92.72017243915296,30.800280290854825,True,True,True
Aluminum,Catalyst_B,Night,Imported,Type_B,460.70364882306393,50.97208660781409,75.56041159786089,1371.760305482959,40.2701801682645,7.467318786692058,98.15618807416246,9.717840843372652,29.2497764053227,8.035784777773097,72.16916110569255,16.060726604164085,32.19007599931595,16.264696348831244,0.7506759516715561,19,22,5,8,5,0,4,2022-01-31 18:10:00,68.58801527414795,30.0,16.989017639536762,20.0,3719.32798095958,92.35935785285236,34.06392272771589,True,True,True
Magnesium,,Day,Local,Type_C,482.1314015947659,125.85485763705653,157.3636341210197,1375.708763049434,54.79428038986323,9.821973158475208,85.36228489730647,8.131820611865004,34.33559366384078,9.072365102097402,90.3227347977132,14.97373033798663,36.55406175407634,17.457051672871447,0.9539967498207328,13,18,2,8,48,0,5,2022-08-16 11:10:00,68.7854381524717,0.0,141.14604197213018,20.0,5048.717793807159,92.1395035738284,25.106794965847126,True,True,True
Aluminum,,Night,Local,Type_B,478.7006778406088,58.60055632035426,103.45601990289276,787.7206977393098,40.09279851946605,7.287768736666766,94.09673788567628,3.221292270659232,39.74476656142882,7.375897441888551,84.05577362308787,47.38663709046556,30.686721627194885,7.728117758566859,0.7207303690019766,12,4,3,12,35,0,0,2022-05-18 13:10:00,39.38603488696549,0.0,56.51791151195106,20.0,3684.107358452403,91.88950371383224,19.64743611890429,True,True,True
Zinc,,Night,Local,Type_C,461.7380929871461,60.92110151121642,166.57483397322045,255.6766350174012,40.047239122216645,7.555792497159261,83.37592487168395,6.469697286886195,33.178090262405384,4.62268282452307,97.2289322664812,44.7059379343231,20.529245559358333,6.818711931029117,0.8482280894736034,14,17,3,8,2,1,2,2022-02-26 15:50:00,12.78383175087006,0.0,153.519374948474,0.0,3678.7239282806,91.85961401867996,6.384376067401904,True,False,True
Zinc,,Night,Local,Type_A,443.1731089435742,110.43056338721128,178.73052639476015,1470.8158190707463,51.19008425742349,9.975357405917585,94.90027055464088,9.204352192371037,13.99911276924762,8.384440726126137,75.6312433463138,19.62074191939,28.1628853358783,15.097551927950468,0.8334727793975715,1,24,5,8,4,1,1,2022-07-14 06:10:00,73.54079095353732,0.0,45.20125906141776,0.0,4689.470427538251,91.60896090649024,28.732435986515323,True,True,True
Aluminum,,Night,Imported,Type_C,463.42768291063726,64.95782726698589,178.6540827951907,1222.9687495298713,52.74619011758129,9.905983613950156,98.04651659674052,7.146898634433346,32.555181685185794,9.567430932372122,96.31995762796971,43.67178910403933,29.75461571618704,8.213305976121442,0.9644322132701156,3,7,2,8,41,0,3,2022-04-10 03:50:00,61.14843747649357,0.0,18.105965743538448,20.0,4830.741303078645,91.5846489065846,23.18591630606194,True,True,True
Magnesium,Catalyst_B,Day,Imported,Type_A,397.906227906722,51.31279390178162,32.3600360364657,306.73113725295656,40.206596600756505,8.932106503540819,92.55277254869556,1.2200326639398795,22.348934172373436,1.1617410630787597,84.43911683986514,52.9464095924926,32.23531932518264,8.010422040727336,0.563039501031749,5,26,1,12,17,1,0,2023-06-24 08:50:00,15.336556862647829,30.0,59.26596367023881,0.0,3673.775545564686,91.37245766023284,7.628875935427603,True,False,True
Aluminum,,Day,Imported,Type_B,481.2871378007767,84.85908669469418,112.64558681620416,1079.7365020866675,45.715454518100216,8.297408608594004,95.67049463415196,1.043691150953978,17.88175219953541,4.562054091643358,85.41346889311271,39.69907372122737,12.472860278935872,19.85044534280344,0.6630453714063458,11,25,2,12,47,0,4,2023-11-18 02:20:00,53.98682510433338,0.0,41.67470491244227,20.0,4173.263478876374,91.28780459185953,23.618632111798544,True,True,True
