metal_type,chemical_additive_type,operator_shift,input_material_source,equipment_type,mass_input_kg,reaction_temp_c,reaction_time_min,energy_kWh,batch_size_kg,raw_material_cost_per_kg,material_purity_pct,moisture_content_pct,ambient_temp_c,reaction_pressure_bar,process_yield_pct,cooling_time_min,maintenance_hours_last_month,downtime_last_month_hr,regulatory_compliance_level,equipment_age_years,operator_experience_years,num_operators,shift_duration_hr,week_of_year,quality_check_passed,num_defects,timestamp,cooling_energy_kWh,process_additive_cost,impurity_penalty,rework_cost,cost_eur,cost_per_kg,energy_per_kg,anomaly_cost_per_kg,anomaly_energy_per_kg,anomaly_isoforest,anomaly_label
Magnesium,,Night,Imported,Type_B,368.0904556390229,98.66135510397524,51.610089234835726,1917.5528195942309,44.77605480123896,3.2209042027765378,80.47299783619901,1.239449250778839,24.83910073406851,7.978793050471078,73.56033222252614,30.361265194009743,9.47245688472054,7.569208249978812,0.632775603795213,10,3,1,12,11,0,3,2022-01-09 13:00:00,95.87764097971154,0.0,143.75406247475382,20.0,1586.44632331303,35.43068567240392,42.82540809158496,True,True,True,Anomaly
Aluminum,Catalyst_B,Night,Local,Type_B,445.1219951056079,63.854773036552125,78.17973997443548,1386.6622111171732,45.02109065315548,8.483975436821382,83.44781724342555,7.798811846980954,35.22046308346769,3.224138067870745,99.80976474242806,26.50516915468999,27.70527386053488,5.024972622045625,0.9740875212090228,9,6,4,8,19,0,2,2022-01-09 16:30:00,69.33311055585867,30.0,147.3548122391812,20.0,4174.363288759313,92.72017243915295,30.800280290854825,True,True,True,Anomaly
Magnesium,Catalyst_B,Day,Imported,Type_B,222.4780377550805,54.0510576722592,88.36950367207268,1971.8525530611253,42.81184482755297,4.943662737732685,87.92910565885494,5.784604165748696,15.430938269489952,7.38750222484261,91.20147036952532,34.872767157683334,36.76443792575902,14.72425436913652,0.7102475074205288,5,12,1,12,11,0,1,2022-01-10 00:30:00,98.59262765305628,30.0,53.71017773933719,20.0,1429.0687432836585,33.380218699754195,46.058574700618244,True,True,True,Anomaly
Aluminum,,Night,Imported,Type_B,471.28875352178136,85.97337313920254,51.115776938430265,1959.767541084368,46.74267084249545,7.617762300490755,88.16465380437958,1.4711030817008364,20.19451289382235,8.546900372341018,76.07939939702048,35.94849580780574,32.688079384679654,2.8063951858965086,0.5523226789200104,8,6,3,12,48,0,0,2022-01-10 05:50:00,97.9883770542184,0.0,111.55731112065412,20.0,3980.3436193935513,85.15438993218328,41.92673430425102,True,True,True,Anomaly
Zinc,Catalyst_B,Day,Local,Type_B,131.7116257779508,68.62830469093888,132.17661753413194,1983.796256264564,44.11516294663621,3.2753059969377984,82.41560444223933,3.0757557569242917,31.320527610843072,7.118844013554148,77.02022808906761,10.799671406113,34.17178468719453,18.97897647612416,0.6713492451071672,5,20,2,8,42,1,3,2022-01-12 13:20:00,99.1898128132282,30.0,46.321386544704666,0.0,761.2548253667236,17.256081005244692,44.96858050063779,False,True,True,Anomaly
Zinc,,Day,Imported,Type_A,381.08679185918135,78.8369821896951,50.60264872968235,1890.850151121688,56.07993427057463,9.309126552669223,80.45377500168922,1.784589803611556,23.24626618136224,4.161086220116303,86.76672671396936,49.08475410355776,7.190367788977001,19.64700783807604,0.8018987185254562,15,7,2,12,31,0,2,2022-01-14 03:50:00,94.5425075560844,0.0,148.97616355127974,20.0,3957.46706917112,70.56832574155885,33.717053625610696,True,True,True,Anomaly
Magnesium,,Day,Imported,Type_A,208.00597853700893,106.80147918908128,140.9838323228684,1981.736537396455,55.86830867615225,9.213330397370656,99.81920342381127,5.03908045784149,26.1453692575996,5.825207053751552,96.55467517701648,41.40066295837639,2.6833336713087697,10.620575128227705,0.7708649009397388,8,22,5,12,52,0,1,2022-01-14 08:40:00,99.08682686982276,0.0,0.7521353749255295,20.0,2241.1861157419944,40.11551752413545,35.47156848588066,True,True,True,Anomaly
Zinc,Catalyst_B,Night,Imported,Type_B,284.2345268306094,52.6416699044713,44.89217751913373,1833.2899169239308,42.99353636469259,1.5378112083265898,83.65241472293174,0.7786144900381131,18.85474029685317,2.033707039615415,76.16455694774406,36.703271098367104,17.7337326442151,18.5237633836843,0.8868871663558027,12,19,3,12,38,0,1,2022-01-14 15:10:00,91.66449584619654,30.0,92.93096332101072,20.0,831.1983443871829,19.33310015106793,42.641058911112886,False,True,True,Anomaly
Zinc,,Day,Imported,Type_B,375.4844919884842,60.29273260255259,65.6832543116106,1883.7348737235357,60.14040681438486,9.482051881831396,98.8712731595172,6.793698485561968,11.831429638462264,2.0892983354356405,85.93657141989326,18.87929309135368,18.902088152808822,5.145023831928393,0.5374247667653054,19,3,1,8,48,1,4,2022-01-15 04:40:00,94.18674368617678,0.0,8.476388485849078,0.0,3847.786403015185,63.98005279363758,31.32228352790206,True,True,True,Anomaly
Aluminum,Catalyst_B,Night,Local,Type_C,223.9350527499688,88.41890128054575,128.5535859761486,1492.6284719381283,41.49281742238654,5.366832161719877,86.536017104694,6.39248970906371,20.73312108025744,2.08954973662171,76.05732749630438,38.06809949202068,22.20617658586347,12.287313595168834,0.6068798798899855,11,16,2,8,26,0,2,2022-01-15 12:40:00,74.63142359690642,30.0,60.30115439770054,20.0,1512.361774074542,36.44876072596074,35.97317715843546,True,True,True,Anomaly
Aluminum,,Day,Imported,Type_C,356.8808592798359,65.56170016631312,35.254060229280164,1512.2659836405428,41.9436148292369,8.389695819692161,97.87453405920996,0.2450124050750046,36.27575314508712,6.847331200201391,73.91141792558204,49.249110513310754,6.7071628680582585,16.362069868551252,0.7837785686304644,8,22,5,12,15,1,3,2022-01-17 11:30:00,75.61329918202715,0.0,15.170762226383555,0.0,3195.317684279368,76.18126614237512,36.05473657426432,True,True,True,Anomaly
Magnesium,,Day,Local,Type_C,270.97585933301247,122.25838073878629,102.08237550157465,1695.734393296079,42.12917635408768,5.364809215928172,81.45698484382864,4.226931598670736,30.063084876598623,3.8558543862661647,95.40527954469869,41.69362279710728,25.42892766311073,3.626492685375202,0.7743480178596585,11,2,5,8,23,0,5,2022-01-19 03:40:00,84.78671966480395,0.0,100.49418933137218,20.0,1798.4865137915078,42.68980952002413,40.250831847358114,True,True,True,Anomaly
Zinc,,Night,Imported,Type_A,403.7840150195651,110.07530199633754,84.8895186441774,1638.879325954724,56.5575032448762,7.750370447240964,87.99032312903054,3.9854172754833215,22.56563434953048,1.596485854281934,80.78897940954487,39.89813353519023,20.63776410249161,7.78689272023885,0.6063089469516125,7,20,4,8,5,1,4,2022-01-19 06:50:00,81.94396629773621,0.0,96.98631092095307,0.0,3423.3732477292274,60.5290730905694,28.977221976346655,True,True,True,Anomaly
Zinc,Catalyst_B,Night,Imported,Type_C,479.77827751399786,134.4310478193621,42.60560019161114,1916.021555993312,52.001927363975575,7.356398068515643,95.71315385860652,9.607593989347398,11.05810962682318,2.1021409087107816,90.31905792490696,33.98742489517579,31.667534793902927,4.847663401594204,0.8172847649023791,12,18,2,8,50,0,3,2022-01-19 15:10:00,95.8010777996656,30.0,41.134713153705896,20.0,3859.9550381540425,74.22715337331964,36.84520272840193,True,True,True,Anomaly
Aluminum,,Night,Local,Type_B,428.50162985007455,144.71659659099592,145.6783586629158,1101.622513958337,42.25888983848901,6.923443245585004,95.82142117387308,9.288396688835476,27.708608620097653,5.332833304087877,78.71128404440343,24.709885402627947,17.61672051419829,6.816211073743801,0.7493282851690735,17,18,3,8,1,0,3,2022-01-20 15:50:00,55.08112569791686,0.0,35.81055674904785,20.0,3151.7927675821884,74.58295235932971,26.06842058957709,True,True,True,Anomaly
Aluminum,,Night,Imported,Type_C,475.30745947847015,101.23765749116598,165.07995923977822,895.3857114974395,43.992370949268405,8.267155999465208,97.70008196206726,1.9326679816415135,37.65210473249751,5.109288703862867,92.658198364953,10.032935501226872,1.4698823880531189,9.919247854021476,0.8872529719954114,4,3,3,12,8,0,1,2022-01-20 21:10:00,44.76928557487198,0.0,21.86336399237043,20.0,4124.161987281988,93.74720885214242,20.35320425284625,True,True,True,Anomaly
Magnesium,,Day,Local,Type_B,363.1774392030976,139.9304518750647,72.53862372879044,1791.173383895264,41.440571590076026,8.21434798431914,87.67763185564846,3.94362588367673,21.22074943780861,7.472068622820289,70.1308450494394,15.195612559347502,36.81007874762378,14.879988602283662,0.5575536215771938,10,23,4,8,27,1,4,2022-01-21 06:30:00,89.55866919476321,0.0,89.5041221516684,0.0,3286.8123878312463,79.31387675691121,43.22269976421379,True,True,True,Anomaly
Aluminum,Catalyst_B,Day,Local,Type_B,390.67386829789336,112.83293898181604,138.83175544841168,1221.3027456900456,45.35823285109447,6.258968539059805,87.64005451721485,2.944128095584884,34.60661738045356,3.031099051288168,79.48222560146438,20.59132699747672,24.239843289706883,9.963267762256809,0.9005036266286629,2,13,4,8,20,0,1,2022-01-22 05:20:00,61.065137284502285,30.0,96.57415427421496,20.0,2769.439163871925,61.057033966990176,26.925712685929216,True,True,True,Anomaly
Zinc,,Night,Imported,Type_A,210.3713798028315,65.37477048759287,153.24088346476833,1862.9211233643396,51.53186733472778,9.399140214152435,85.0113582928642,6.702813914334031,12.422922911661887,6.591944563874856,84.22054099167829,19.77653337464422,4.017788065345482,15.885380681837065,0.8496076241269188,15,5,1,12,25,0,1,2022-01-23 08:10:00,93.14605616821696,0.0,63.063624746008514,20.0,2308.296725230847,44.79357812200347,36.15085615399193,True,True,True,Anomaly
Aluminum,,Day,Local,Type_B,450.04849111257647,137.33006500006206,63.07129435003827,1981.515127250236,68.64837258447992,8.550037098641287,94.79204019675736,5.595051707773169,13.422471634709384,4.472358678924607,83.73345239464619,37.21956061695204,36.33199649014664,7.167806680051491,0.9166143635779782,12,5,5,8,48,1,2,2022-01-23 16:40:00,99.0757563625118,0.0,46.87668902448596,0.0,4117.613535375724,59.98122577936592,28.864706513060423,True,True,True,Anomaly
Magnesium,,Night,Local,Type_C,438.8128316547887,148.361302194415,104.981306379697,230.56840335880807,42.299729206386935,7.9026010918463,80.83626938210998,9.264203413332444,26.23911307746973,5.21241432505035,92.00372502888511,33.967589174681706,23.74156049518721,6.878581918851592,0.947245304854866,13,2,1,8,43,1,0,2022-01-27 00:40:00,11.528420167940403,0.0,168.18581795011792,0.0,3695.372861297439,87.36161981716579,5.450824572276316,True,False,True,Anomaly
Aluminum,,Day,Local,Type_C,436.3286847801516,62.25875843863696,53.25602650049434,1942.1018065444164,41.37381881009916,2.363823383492428,95.8023935459115,1.6857833190030502,19.49639343280281,6.301651990186293,83.18977207090725,11.91471710929223,29.871495936687865,13.74027068671744,0.7846603562810487,18,24,3,8,39,0,3,2022-01-28 02:50:00,97.10509032722082,0.0,36.6307220667422,20.0,1306.673141740758,31.582125588605447,46.940356544278146,True,True,True,Anomaly
Aluminum,Catalyst_B,Night,Local,Type_C,266.7790449134628,127.1798277254406,138.41151544392852,1590.2791350596578,40.70032399381832,9.66375252394248,94.08824348020592,5.509370050116659,35.16097167455362,1.2700555347800748,73.66264191971126,43.68110674830665,37.640486741243535,5.761946094351793,0.8761759555025093,12,3,5,12,40,0,0,2022-01-28 05:20:00,79.51395675298289,30.0,31.54265516223195,20.0,2856.23553523905,70.17721863032007,39.07288638049156,True,True,True,Anomaly
Aluminum,,Day,Local,Type_B,182.51497468558065,104.06444040112284,125.39708239702,1978.69615595827,50.10537751352005,8.164369976285968,89.34698654874273,1.9863736471297253,21.987645275844017,4.361273488176199,76.43469832920776,43.45153656063653,12.808591089639672,12.402820560383477,0.6216559534980681,1,1,5,12,10,0,0,2022-01-28 11:40:00,98.9348077979135,0.0,38.88668960762739,20.0,1777.176851769164,35.46878478841167,39.4906944953035,True,True,True,Anomaly
Aluminum,Catalyst_B,Day,Imported,Type_A,393.2001839296312,88.38188754903342,130.66132284257776,272.5839228810868,44.786727527007166,8.661841448103193,83.0386484355003,4.424626627332946,36.569853065333,2.8849218818647757,90.53506316394656,35.66321499305384,33.227814121064306,14.677448148736156,0.8406426467174004,9,5,5,8,23,0,2,2022-01-30 11:40:00,13.62919614405434,30.0,133.38413109712835,20.0,3576.765261458967,79.86217031155304,6.086265684777125,True,False,True,Anomaly
Zinc,Catalyst_B,Day,Local,Type_C,454.761816350079,131.59345038179828,108.9807784605954,1948.764836252245,52.44832575725644,5.55076981595027,97.14132818164713,0.3150554690375695,16.215184805949875,5.460768596040786,73.01895895977336,37.02872446225691,11.552826889243365,12.459613749315231,0.7477696667164258,6,25,1,12,43,1,2,2022-01-30 15:20:00,97.43824181261226,30.0,26.00029576925884,0.0,2835.8411946000238,54.06924155644136,37.155901701640595,True,True,True,Anomaly
Aluminum,Catalyst_B,Day,Local,Type_B,332.97180067038374,81.43172604528421,173.90327060476608,957.3984086102656,45.93300235384708,9.15931163771858,88.26616314514018,1.888442407273363,17.239301492331244,4.054837193723434,71.7641730211663,42.13003923754821,31.05685225739492,3.218014334257251,0.5545668274739484,12,13,3,12,50,0,0,2022-01-30 23:50:00,47.86992043051329,30.0,78.14073572670368,20.0,3282.5361530500386,71.46356616889234,20.843366632881978,True,True,True,Anomaly
Aluminum,Catalyst_B,Night,Imported,Type_B,460.70364882306393,50.97208660781409,75.56041159786089,1371.760305482959,40.2701801682645,7.467318786692058,98.15618807416246,9.717840843372652,29.2497764053227,8.035784777773097,72.16916110569255,16.060726604164085,32.19007599931595,16.264696348831244,0.7506759516715561,19,22,5,8,5,0,4,2022-01-31 18:10:00,68.58801527414795,30.0,16.989017639536762,20.0,3719.32798095958,92.35935785285238,34.06392272771589,True,True,True,Anomaly
Magnesium,Catalyst_B,Day,Local,Type_A,445.4405516353347,70.21283238007072,158.7699413632377,1692.832328123466,68.56772738399096,9.200500886699611,97.51597218650826,8.031172283593026,27.11923515556169,1.926228503604117,72.96269732857614,11.19487508689372,26.273785142858173,6.8699391431903205,0.5870361537469754,16,19,1,12,11,1,4,2022-02-03 02:50:00,84.6416164061733,30.0,22.129734390385504,0.0,4375.657818930492,63.81512098871328,24.688470694723723,True,True,True,Anomaly
Magnesium,Catalyst_B,Day,Imported,Type_A,178.88978628622388,52.01621552635899,50.37954635804228,1939.2356357978304,42.33215394495152,2.438656613032659,85.54946840522912,4.393869527400126,20.04958605247444,3.8786428631924657,82.13548697078433,26.7688805967762,19.659539546676168,11.679807600490577,0.9173939478413724,3,3,3,12,14,0,3,2022-02-05 13:50:00,96.96178178989152,30.0,51.70105017421776,20.0,774.674365334726,18.299904284154966,45.80999205284004,False,True,True,Anomaly
Zinc,Catalyst_B,Day,Imported,Type_B,485.5212143545773,81.404282038975,80.17297209410953,1586.1361790035462,51.17426897152463,6.569118838529421,80.35902324444385,7.582663644995985,33.60129919300843,9.635039233102612,81.43660505379853,14.823526171342918,22.31244505406402,8.563946099440091,0.8895861502057297,17,19,2,8,50,0,3,2022-02-07 16:30:00,79.30680895017731,30.0,190.72221770935292,20.0,3678.258910485115,71.87711684815356,30.994798965982973,True,True,True,Anomaly
Aluminum,,Day,Local,Type_A,225.3904317575357,120.11248056394092,168.91810973673066,1932.9766242106768,47.05041348431052,5.8072901081778925,92.23115550503522,2.651423501856848,11.973252496634426,3.7985052281685263,77.25437144509503,47.61915468296797,28.55054991268748,14.488075102678652,0.8259014220858527,5,2,3,8,17,1,3,2022-02-07 21:30:00,96.64883121053384,0.0,35.02046429954531,0.0,1621.560817832944,34.46432661795143,41.08309536653167,True,True,True,Anomaly
Aluminum,,Day,Local,Type_C,318.9153471856541,109.58125174081128,125.14645135936404,1805.7134033371967,47.34672094474668,6.94492372174331,83.57513895125035,0.6476645784454693,12.528855797401336,5.516157224724321,78.90277404807593,56.99699184566274,24.38604774359305,11.105027865090795,0.672072839296128,14,12,1,12,12,0,2,2022-02-08 20:50:00,90.28567016685986,0.0,104.76280527676244,20.0,2611.9043346560416,55.165474663052535,38.138087861342136,True,True,True,Anomaly
Aluminum,,Night,Local,Type_B,245.45877797069716,80.53397129900199,111.63078683073718,1449.8447108958148,40.22268268083715,9.438013290892044,95.0633942997926,9.90017081049807,11.093766569336934,6.735503361764918,73.6861499251616,41.459092580694765,32.72190513196225,6.514892652812687,0.922225814506768,8,24,5,8,13,1,2,2022-02-09 18:20:00,72.49223554479074,0.0,24.23466404992176,0.0,2542.4913937093897,63.21038837423643,36.04545033458319,True,True,True,Anomaly
Zinc,,Night,Local,Type_C,464.26961188435433,136.36876801415153,43.16728127580291,1494.3345143729543,42.53818868599736,5.432714563949694,85.8554264668607,3.71242197420832,22.80274182210175,9.248389150845352,83.27822448988874,52.01631952121155,17.544997993503667,4.088301571201988,0.8405500380651771,12,11,4,8,38,0,0,2022-02-09 19:30:00,74.71672571864772,0.0,131.33791329000582,20.0,2884.635698918525,67.81284742074793,35.12924646142388,True,True,True,Anomaly
Aluminum,,Day,Imported,Type_B,489.32187318937457,65.02146726885296,93.60852773429096,1304.3838969023716,41.60529542549058,9.339366128603634,84.34272217314233,8.220971791856178,38.26769854348959,8.260387869803303,86.24346206157333,13.14944694271233,36.7527515650728,7.233637305459279,0.6287053359064745,8,8,4,12,38,0,2,2022-02-09 22:20:00,65.21919484511858,0.0,153.22897030568902,20.0,4895.750219073624,117.67132450342159,31.35139129677244,True,True,True,Anomaly
Aluminum,,Day,Imported,Type_B,298.9846880274552,117.57703849009532,55.27721188295568,1739.338598149493,42.0082237572276,3.738436309526696,92.13511478890908,0.97283927145298,36.01817486330687,5.911277922186649,70.05507183848991,36.51173348644885,17.417528483180654,17.339916719757102,0.5416505735514194,12,10,5,12,38,0,2,2022-02-12 00:10:00,86.96692990747465,0.0,47.029605024195305,20.0,1429.9246553147864,34.039160131562696,41.40471656696116,True,True,True,Anomaly
Aluminum,,Night,Imported,Type_A,163.29437050219133,100.87977912540012,41.126588052778885,1856.810146547043,45.39131515794266,6.805550227381032,91.29161755370694,3.352336071438172,29.49632620095982,2.4773259388740287,93.48775131616252,14.8138661728728,9.776578816229318,17.893778661178,0.6404889430324449,11,2,1,12,45,0,2,2022-02-12 08:20:00,92.84050732735216,0.0,28.44059659319517,20.0,1413.3964367034746,31.13803668797545,40.90672720290491,True,True,True,Anomaly
Aluminum,,Night,Imported,Type_B,486.7028491010559,118.20404651366628,120.08952112726324,903.1267322415692,40.69204036619232,5.265861570578871,93.01309411585358,2.806163020721335,19.554330562413934,7.618220942339955,86.77936139958494,42.18591238345452,0.2300920691163899,8.180670538705776,0.8691085003043312,10,8,5,12,38,0,3,2022-02-13 22:40:00,45.15633661207846,0.0,68.01094000429991,20.0,2812.680665731829,69.12115097744409,22.19418648252161,True,True,True,Anomaly
Magnesium,,Night,Local,Type_A,454.0060926255512,58.01105660854261,96.5453688803724,1620.446227441642,40.10231216709919,3.511743905324562,84.24914198588372,4.680794732221646,31.58651285408736,1.0912675651301118,81.92621171080694,33.703122214464905,7.284259333282779,5.345743958428013,0.5536780352663719,15,7,4,8,42,0,1,2022-02-15 03:00:00,81.0223113720821,0.0,143.0197100497756,20.0,1978.1247838309644,49.32695091466224,40.40780044525939,True,True,True,Anomaly
Magnesium,,Night,Imported,Type_A,232.5519982634522,123.68049762915946,116.93400942644764,1999.8867473280263,42.36902881416735,2.869393195330717,86.11450946449617,7.430228726303732,15.867516203649435,7.148683656425384,73.61177620546242,53.10312880935637,15.414937589637445,11.186499439033648,0.7603526118528063,4,23,4,12,36,0,5,2022-02-17 01:10:00,99.99433736640133,0.0,64.58197141799337,20.0,1021.9848444397088,24.121035412970752,47.201618807446074,False,True,True,Anomaly
Magnesium,Catalyst_B,Night,Imported,Type_A,421.0545907029196,55.7248188293651,37.04963044321458,1702.2861308296162,45.738575811080665,3.815230029635949,98.38975458467084,7.544951684800923,11.542795997605271,1.1918290146270376,79.34999631321995,59.00188253257336,15.213377308018403,2.289549790799485,0.8558786750326108,1,23,5,12,41,1,2,2022-02-19 23:50:00,85.11430654148081,30.0,13.560024485653344,0.0,1887.159717452424,41.25969565049813,37.2177336229437,True,True,True,Anomaly
Magnesium,Catalyst_B,Night,Imported,Type_A,468.61154182640666,135.83321368203897,142.12332904355657,1571.16817811603,43.76302697544138,5.185405493197753,94.6769915473298,0.6857959236589206,21.15704756503683,4.90337055253803,89.34883115462115,10.7291530916621,17.175308977259714,19.268654402754443,0.6417892522627708,3,7,2,8,51,1,2,2022-02-20 23:40:00,78.55840890580151,30.0,49.88846396321563,0.0,2741.3867390515184,62.641616188704454,35.90172542218634,True,True,True,Anomaly
Magnesium,Catalyst_B,Night,Local,Type_B,323.5538302944383,87.37822797976813,65.65495321601328,1951.884131800106,47.68664069113959,1.6386595908339552,87.30942016737416,9.809588909977515,37.47837455313689,2.7492878408813683,77.51443726101776,49.42658074411823,17.561140529142065,16.005062800023545,0.6636279590353318,11,18,5,8,24,0,2,2022-02-21 16:50:00,97.5942065900053,30.0,82.12171427006889,20.0,947.8018312059952,19.875625908412992,40.931466413040404,False,True,True,Anomaly
Zinc,Catalyst_B,Day,Imported,Type_B,336.7483008262138,117.06565015125132,39.77151103184329,1289.2349664901333,44.361443151999296,9.6696680839356,84.65199686903469,6.856415120090219,17.845048102863988,8.878029598331038,97.1041677743542,55.77410347748934,0.693189265745886,0.8195050612492727,0.5108462899424357,17,12,3,12,41,0,0,2022-02-22 11:10:00,64.46174832450667,30.0,103.36827950855958,20.0,3583.682781460586,80.78372854511329,29.062060990052114,True,True,True,Anomaly
Aluminum,Catalyst_B,Night,Imported,Type_A,462.874146946264,61.438817484125885,109.2510497276593,1647.2722918513955,45.21856253994536,3.659883478562773,92.751899839219,6.030973864613781,23.453580875683787,9.7537468956,99.2464043270121,19.73541873016497,29.4989750162526,16.195915918094165,0.9816203534820171,19,14,2,8,6,1,2,2022-02-23 06:00:00,82.36361459256979,30.0,67.0991635780518,0.0,2007.7585697337968,44.401202890078046,36.429116701713404,True,True,True,Anomaly
Aluminum,,Night,Imported,Type_A,182.5545354052659,130.35112163230542,119.0495289938314,1863.649927089251,43.87725404276169,2.747991617281776,97.68410535848491,9.502816461922013,27.746164806715765,5.226863022433281,86.13099794442749,40.01808857226085,13.683878193298966,5.820211591028965,0.8989228532484701,2,1,4,12,48,1,5,2022-02-23 20:10:00,93.18249635446256,0.0,8.45554140658657,0.0,763.7068261003438,17.40552919186907,42.47416953834403,False,True,True,Anomaly
